Bee #,Nonadecane,Hexadecanolide,Octadecanal,Heneicosane,Octadecadienoic Acid,Octadecanolide,Octadecenolide,Eicosanal,Tricosene,Tricosane,Unknown RI2360,Eicosanolide,Eicosenolide,Pentacosene,Pentacosane,Unknown RI2496,11/13-methylpentacosane?,Docosene,Unknown RI2568,Hexacosene,Unknown RI2620,Docosenolide,Docosanolide,Heptacosadiene,Unknown RI2687,Heptacosene,Heptacosane,Unknown RI2739,Octacosane,Tetracosanolide,Tetracosenolide,Nonacosene,3-Methyl-3-Butenyl Docosanoate,Nonacosane,Hexacosenolide,Hexacosanolide,Triacontane,3-Methyl-3-Butenyl Tetracosanoate,Tritriacontane,Pentatriacontene,Heptatriacontadiene,Heptatriacontene,Unknown RI2155,11-Methyltricosane,Alkane_total,Alkene_total,Methylalkane_total,Lactone_total
618,0.004,0.032,0.001,0.994,0.002,1.886,0.072,0.001,0.02,3.452,0.023,1.87,1.328,0.007,2.495,0.112,0.016,0.013,0.921,0.006,1.064,0.735,1.513,0.018,0.071,0.067,1.836,0.015,0.052,0.216,0.273,0.017,0.009,0.139,0.01,0.004,0.002,0.001,0.004,0.041,0.177,0.026,0.002,0.008,8.977,0.393,0.024,7.938
619,0.092,0.036,0.004,5.457,0.012,6.411,2.381,0.021,0.045,6.326,0.042,4.358,8.075,0.161,3.694,3.789,0.13,0.366,1.994,0.03,1.822,7.052,4.365,0.212,2.55,0.935,4.089,0.547,0.515,2.455,5.115,0.629,0.614,0.493,0.449,0.107,0.013,0.044,0.012,0.069,0.291,0.069,0.004,0.054,20.692,2.806,0.185,40.804
620,0.005,0.033,0.002,0.833,0.002,2.063,0.081,0.002,0.02,1.756,0.024,2.18,1.676,0.018,2.695,0.112,0.016,0.012,0.85,0.007,0.628,1.053,1.931,0.015,0.096,0.256,1.294,0.015,0.068,0.3,0.423,0.124,0.016,0.164,0.014,0.007,0.002,0,0.005,0.031,0.206,0.038,0.003,0.003,6.823,0.727,0.019,9.762
621,0.02,0.033,0.002,2.559,0.004,5.43,0.759,0.005,0.024,3.174,0.025,4.081,7.222,0.081,3.886,0.643,0.022,0.028,0.612,0.015,0.437,5.044,4.009,0.07,0.616,0.476,2.554,0.192,0.361,1.721,2.818,0.192,0.12,0.36,0.155,0.049,0.007,0.016,0.007,0.036,0.157,0.026,0.003,0.008,12.927,1.105,0.03,31.322
623,0.091,0.044,0.008,5.066,0.014,6.61,2.618,0.028,0.071,5.166,0.057,4.482,8.155,0.351,3.693,4.21,0.086,0.474,1.145,0.049,0.891,7.16,4.514,0.234,3.029,1.035,3.901,0.69,0.554,2.743,5.649,0.492,0.645,0.457,0.62,0.154,0.017,0.039,0.014,0.037,0.134,0.028,0.145,0.034,18.96,2.904,0.12,42.749
715,0.002,0.032,0.002,0.06,0,0.667,0.044,0.001,0.029,3.031,0.022,1.145,0.427,0.039,3.136,0.08,0.02,0.01,0.002,0.003,0.029,0.131,0.633,0.073,0.035,0.088,1.311,0.002,0.009,0.024,0.039,0.004,0.006,0.035,0.001,0,0.001,0,0.002,0.012,0.053,0.006,0.001,0.008,7.587,0.316,0.028,3.144
716,0.001,0.032,0.001,0.035,0,0.172,0.009,0,0.023,0.818,0.02,0.594,0.215,0.152,2.905,0.091,0.033,0.017,0.036,0.013,0.037,0.13,0.469,0.011,0.055,0.438,0.798,0.007,0.013,0.038,0.053,0.271,0.018,0.092,0.003,0.001,0.002,0.001,0.003,0.008,0.052,0.009,0,0.003,4.668,0.993,0.036,1.714
717,0.002,0.109,0.001,0.504,0.003,6.491,3.362,0.01,0.033,5.005,0.032,4.322,6.674,0.042,4.471,1.765,0.046,0.478,0.095,0.048,0.133,5.195,4.415,0.049,0.243,0.049,4.15,0.121,0.515,2.555,2.852,0.058,0.611,0.284,0.062,0.074,0.012,0.843,0.032,0.245,0.18,0.298,0.001,0.016,14.976,1.481,0.062,36.112
718,0.001,0.032,0.001,0.063,0,0.765,0.042,0,0.045,3.297,0.022,0.777,0.25,0.272,3.284,0.106,0.023,0.007,0.003,0.004,0.028,0.129,0.734,0.033,0.044,0.409,2.422,0.007,0.025,0.087,0.051,0.066,0.007,0.069,0.003,0.002,0.002,0,0.002,0.024,0.058,0.016,0,0.008,9.165,0.934,0.031,2.872
719,0.001,0.033,0.001,0.056,0,0.643,0.046,0,0.024,2.659,0.021,0.486,0.183,0.018,1.046,0.032,0.005,0.012,0.034,0.003,0.043,0.124,0.446,0,0.029,0.063,1.923,0.003,0.011,0.031,0.05,0,0,0.032,0.002,0,0.001,0.001,0.002,0.056,0.259,0.048,0,0.006,5.732,0.484,0.011,2.044
